	Original Data		Shifted Data		Cumulative Volumes		Relative Volume		Average Relative Volume
Time	11/17/09	11/18/09	11/17/09	11/18/09	11/17/09	11/18/09	11/17/09	11/18/09	
08:30:00 AM	"5,481,106"	"4,641,719"	0	0	0	0	0.00%	0.00%	0.00%
08:35:00 AM	"3,894,936"	"4,276,351"	"5,481,106"	"4,641,719"	"5,481,106"	"4,641,719"	4.38%	3.50%	3.94%
08:40:00 AM	"3,661,186"	"6,311,199"	"3,894,936"	"4,276,351"	"9,376,042"	"8,918,070"	7.49%	6.73%	7.11%
08:45:00 AM	"3,249,089"	"3,139,244"	"3,661,186"	"6,311,199"	"13,037,228"	"15,229,269"	10.41%	11.49%	10.95%
08:50:00 AM	"2,670,915"	"6,107,960"	"3,249,089"	"3,139,244"	"16,286,317"	"18,368,513"	13.00%	13.86%	13.43%
08:55:00 AM	"2,315,594"	"3,172,311"	"2,670,915"	"6,107,960"	"18,957,232"	"24,476,473"	15.14%	18.47%	16.80%
09:00:00 AM	"2,613,043"	"2,565,106"	"2,315,594"	"3,172,311"	"21,272,826"	"27,648,784"	16.98%	20.86%	18.92%
09:05:00 AM	"2,931,150"	"1,964,518"	"2,613,043"	"2,565,106"	"23,885,869"	"30,213,890"	19.07%	22.79%	20.93%
09:10:00 AM	"2,450,346"	"4,332,998"	"2,931,150"	"1,964,518"	"26,817,019"	"32,178,408"	21.41%	24.28%	22.84%
09:15:00 AM	"2,153,387"	"1,882,892"	"2,450,346"	"4,332,998"	"29,267,365"	"36,511,406"	23.37%	27.55%	25.46%
09:20:00 AM	"2,483,071"	"1,679,832"	"2,153,387"	"1,882,892"	"31,420,752"	"38,394,298"	25.09%	28.97%	27.03%
09:25:00 AM	"2,041,237"	"1,831,072"	"2,483,071"	"1,679,832"	"33,903,823"	"40,074,130"	27.07%	30.23%	28.65%
09:30:00 AM	"2,690,166"	"2,302,840"	"2,041,237"	"1,831,072"	"35,945,060"	"41,905,202"	28.70%	31.61%	30.16%
09:35:00 AM	"1,934,209"	"1,444,503"	"2,690,166"	"2,302,840"	"38,635,226"	"44,208,042"	30.85%	33.35%	32.10%
09:40:00 AM	"2,749,402"	"4,513,237"	"1,934,209"	"1,444,503"	"40,569,435"	"45,652,545"	32.39%	34.44%	33.42%
09:45:00 AM	"1,476,059"	"3,724,565"	"2,749,402"	"4,513,237"	"43,318,837"	"50,165,782"	34.59%	37.85%	36.22%
09:50:00 AM	"2,634,106"	"1,566,116"	"1,476,059"	"3,724,565"	"44,794,896"	"53,890,347"	35.76%	40.66%	38.21%
09:55:00 AM	"1,379,601"	"1,713,466"	"2,634,106"	"1,566,116"	"47,429,002"	"55,456,463"	37.87%	41.84%	39.85%
10:00:00 AM	"846,920"	"2,383,477"	"1,379,601"	"1,713,466"	"48,808,603"	"57,169,929"	38.97%	43.13%	41.05%
10:05:00 AM	"1,444,522"	"2,608,452"	"846,920"	"2,383,477"	"49,655,523"	"59,553,406"	39.65%	44.93%	42.29%
10:10:00 AM	"1,903,529"	"1,973,639"	"1,444,522"	"2,608,452"	"51,100,045"	"62,161,858"	40.80%	46.90%	43.85%
10:15:00 AM	"2,211,009"	"1,343,447"	"1,903,529"	"1,973,639"	"53,003,574"	"64,135,497"	42.32%	48.39%	45.35%
10:20:00 AM	"1,295,839"	"770,576"	"2,211,009"	"1,343,447"	"55,214,583"	"65,478,944"	44.08%	49.40%	46.74%
10:25:00 AM	"950,895"	"572,204"	"1,295,839"	"770,576"	"56,510,422"	"66,249,520"	45.12%	49.98%	47.55%
10:30:00 AM	"1,091,026"	"1,323,198"	"950,895"	"572,204"	"57,461,317"	"66,821,724"	45.88%	50.41%	48.15%
10:35:00 AM	"1,167,601"	"518,204"	"1,091,026"	"1,323,198"	"58,552,343"	"68,144,922"	46.75%	51.41%	49.08%
10:40:00 AM	"731,686"	"706,981"	"1,167,601"	"518,204"	"59,719,944"	"68,663,126"	47.68%	51.80%	49.74%
10:45:00 AM	"1,159,997"	"1,125,071"	"731,686"	"706,981"	"60,451,630"	"69,370,107"	48.27%	52.34%	50.30%
10:50:00 AM	"1,113,370"	"883,029"	"1,159,997"	"1,125,071"	"61,611,627"	"70,495,178"	49.19%	53.18%	51.19%
10:55:00 AM	"1,279,499"	"661,378"	"1,113,370"	"883,029"	"62,724,997"	"71,378,207"	50.08%	53.85%	51.97%
11:00:00 AM	"999,740"	"826,313"	"1,279,499"	"661,378"	"64,004,496"	"72,039,585"	51.10%	54.35%	52.73%
11:05:00 AM	"784,804"	"551,008"	"999,740"	"826,313"	"65,004,236"	"72,865,898"	51.90%	54.97%	53.44%
11:10:00 AM	"1,695,186"	"854,589"	"784,804"	"551,008"	"65,789,040"	"73,416,906"	52.53%	55.39%	53.96%
